0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:59 +0800] "GET /Book2/tu/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:07:01 +0800] "GET /Book2/adduser.jsp HTTP/1.1" 200 6696
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:07:01 +0800] "GET /Book2/tu/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:07:04 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:07:10 +0800] "GET /Book2/addbook.jsp HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:07:10 +0800] "GET /Book2/tu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:07:10 +0800] "POST /Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:07:10 +0800] "GET /Book2/tu/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:08:20 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:08:21 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:08:28 +0800] "POST /Book2/FenleiServlet HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:10:05 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:10:06 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:10:23 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:10:32 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:10:58 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:11:13 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:11:34 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:11:44 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:12:10 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:12:18 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:12:19 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:12:30 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:12:41 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:12:50 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:12:57 +0800] "POST /Book2/FenleiServlet HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:13:09 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:13:15 +0800] "GET //Book2/FenleiServlet?action=showPasgefl&pageNew=1 HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:13:16 +0800] "GET //Book2/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:13:16 +0800] "GET //Book2/bootstrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:13:16 +0800] "GET //Book2/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
